reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
US-10548,Barber Pond State Recreation Area,41.4994,-71.5639,FN41fl,US-RI,40,38,1330,0,0
US-10549,Iron River National Fish Hatchery,46.644,-91.3599,EN46hp,US-WI,9,8,474,0,0
US-10550,Scanlon State Conservation Area,30.1422,-83.8628,EM80bd,US-FL,17,17,480,0,0
US-10551,Falling Creek State Conservation Area,30.3297,-82.707,EM80ph,US-FL,8,8,388,0,0
US-10552,Fox Trail State Conservation Area,30.4136,-82.9635,EM80mj,US-FL,13,13,385,0,0
US-10553,Guaranto State Conservation Area,29.7778,-82.9494,EL89ms,US-FL,13,13,284,0,0
US-10554,Suwannee Street State Conservation Area,29.7458,-82.9359,EL89mr,US-FL,15,15,442,0,0
US-10555,Pleasant Hope State Conservation Area,37.4402,-93.3087,EM37ik,US-MO,31,31,1396,0,0
US-10556,Little Sac Woods State Conservation Area,37.388,-93.3838,EM37hj,US-MO,26,26,1099,0,0
US-10557,Dale Sare State Conservation Area,37.3677,-93.3207,EM37ii,US-MO,45,43,2291,0,0
US-10558,Black Earth Creek State Fish and Wildlife Area,43.1213,-89.696,EN53dc,US-WI,32,31,2324,0,0
US-10559,Camp Branch State Conservation Area,30.3781,-82.8789,EM80nj,US-FL,19,19,530,0,0
US-10560,Wallsburg State Wildlife Management Area,40.4572,-111.427,DN40gk,US-UT,22,21,684,0,0
US-10561,Indiana War Memorial Plaza National Historical Site,39.7734,-86.1569,EM69ws,US-IN,120,98,4478,0,0
US-10562,Port Hudson State Historic Site,30.6927,-91.2694,EM40iq,US-LA,181,179,9544,0,3
US-10563,Fort Johnson-Vernon Wildlife Management Area,31.0426,-92.9831,EM31mb,US-LA,8,8,175,0,1
US-10564,East Canyon State Wildlife Management Area,40.9343,-111.628,DN40ew,US-UT,11,11,374,0,0
US-10565,Stuart's Landing North State Conservation Area,29.9197,-82.9207,EL89mw,US-FL,10,10,563,0,0
US-10566,Stuart's Landing South State Conservation Area,29.9,-82.9148,EL89nv,US-FL,13,13,430,0,0
US-10567,Hatchbend State Conservation Area,29.8731,-82.8891,EL89nu,US-FL,17,17,591,0,0
US-10568,Trillium Slopes State Conservation Area,30.4256,-83.0664,EM80lk,US-FL,8,8,295,0,0
US-10569,Hunter Creek State Conservation Area,30.484,-82.7103,EM80pl,US-FL,16,16,424,0,0
US-10570,Belmont State Conservation Area,30.5066,-82.7169,EM80pm,US-FL,16,16,323,0,0
US-10571,Avoca State Conservation Area,30.5875,-83.0483,EM80lo,US-FL,11,11,368,0,0
US-10572,Amidon Memorial State Conservation Area,37.569,-90.1553,EM47wn,US-MO,11,10,742,0,0
US-10573,Coldwater State Conservation Area,37.2764,-90.4208,EM47sg,US-MO,11,11,549,0,0
US-10574,Lipton State Conservation Area,39.064,-94.4213,EM29sb,US-MO,18,18,556,0,0
